com.huawei.gamebox,Huawei games
com.huawei.hwsearch,
com.huawei.hiassistantoversea,
com.google.android.youtube,
com.huawei.hwread.dz,Huawei book
com.huawei.phoneservice,
com.android.mediacenter,
com.huawei.mycenter,
com.huawei.browser,
com.huawei.appmarket,
com.touchtype.swiftkey,
com.google.android.videos,
com.huawei.welinknow,
com.huawei.search,AI search
com.huawei.intelligent,Assistant today
com.huawei.hiaction,
com.huawei.hitouch,
com.huawei.KoBackup,
com.huawei.hicloud,
com.huawei.hifolder,App provider
com.huawei.vassistant,
com.google.android.music,
com.google.android.apps.tachyon,Google meet & duo
com.android.email,
com.huawei.phoneservice,
com.android.hwmirror,
com.huawei.android.totemweather,
com.android.chrome,
com.huawei.android.thememanager,
com.huawei.himovie.overseas,Huawei video
com.google.android.apps.docs,Google drive
com.google.android.apps.photos,
com.google.android.googlequicksearchbox,
com.google.android.gm,Gmail
com.android.calendar,
com.hicloud.android.clone,
com.android.soundrecorder,
com.example.android.notepad,
com.netflix.partner.activation,
com.facebook.appmanager,
com.ebay.carrier,
com.android.gallery3d,
com.android.egg,
com.huawei.screenrecorder,
com.huawei.android.FloatTasks,Floating dock function.
com.facebook.services,
com.facebook.system,
com.huawei.scanner,
com.huawei.tips,
com.android.dreams.basic,Basic Dreams
com.huawei.compass,Compass
com.android.wallpaperbackup,
com.huawei.android.mirrorshare,
com.huawei.android.chr,
com.huawei.hidisk,
com.huawei.hifolder,
com.huawei.videoeditor,
com.swiftkey.swiftkeyconfigurator,
com.android.backupconfirm,
com.android.facelock,
com.google.android.onetimeinitializer ,
com.google.android.setupwizard,
com.google.android.backuptransport,
com.google.android.apps.restore,
com.google.android.feedback,
com.google.android.tts,Text-to-speech
